top_fraction,n_customers,conversion_rate,lift_vs_baseline
0.1,280,0.9,1.9000756429652044
0.2,559,0.8586762075134168,1.8128330523221985
0.3,838,0.8269689737470167,1.7458928938940421
0.4,1117,0.7699194270367055,1.625450167064633
0.5,1398,0.698140200286123,1.4739102110427906
