k,silhouette
2,0.33992100963407806
9,0.2972936702653848
8,0.29539773828567334
10,0.29370473586172896
7,0.29058405359164186
4,0.28546799195510614
6,0.2779239952908833
5,0.2729890434551914
3,0.2701603464885058
