top_fraction,n_targeted,contacted_share,conversion_rate,lift_vs_baseline,expected_conversions,recall_capture,threshold_at_cutoff
0.05,140,0.05,0.9571428571428572,2.0207153663280746,134,0.10136157337367625,0.9078703244726473
0.1,280,0.1,0.9,1.9000756429652044,252,0.19062027231467474,0.8521074643965415
0.2,559,0.2,0.8586762075134168,1.8128330523221985,480,0.3630862329803328,0.7320916782230587
0.3,838,0.3,0.8269689737470167,1.7458928938940421,693,0.5242057488653555,0.5768702377429716
