antecedents,consequents,support,confidence,lift
"frozenset({'loan_no', 'housing_no', 'poutcome_success'})","frozenset({'contact_cellular', 'deposit_yes'})",0.057158215373588964,0.8394736842105263,2.1447025093059957
"frozenset({'default_no', 'loan_no', 'housing_no', 'poutcome_success'})","frozenset({'contact_cellular', 'deposit_yes'})",0.057158215373588964,0.8394736842105263,2.1447025093059957
"frozenset({'housing_no', 'poutcome_success', 'contact_cellular'})","frozenset({'default_no', 'loan_no', 'deposit_yes'})",0.057158215373588964,0.8960674157303371,2.097714868788176
"frozenset({'housing_no', 'poutcome_success'})","frozenset({'default_no', 'loan_no', 'deposit_yes'})",0.0631607238846085,0.8946700507614214,2.094443604571935
"frozenset({'housing_no', 'poutcome_success', 'contact_cellular'})","frozenset({'loan_no', 'deposit_yes'})",0.057158215373588964,0.8960674157303371,2.08156180944475
"frozenset({'default_no', 'housing_no', 'poutcome_success', 'contact_cellular'})","frozenset({'loan_no', 'deposit_yes'})",0.057158215373588964,0.8960674157303371,2.08156180944475
"frozenset({'housing_no', 'poutcome_success'})","frozenset({'loan_no', 'deposit_yes'})",0.0631607238846085,0.8946700507614214,2.07831573498418
"frozenset({'default_no', 'housing_no', 'poutcome_success'})","frozenset({'loan_no', 'deposit_yes'})",0.0631607238846085,0.8946700507614214,2.07831573498418
"frozenset({'poutcome_success', 'contact_cellular'})","frozenset({'default_no', 'loan_no', 'deposit_yes'})",0.07695753449202652,0.876530612244898,2.05197875291056
frozenset({'poutcome_success'}),"frozenset({'default_no', 'loan_no', 'deposit_yes'})",0.08367676043719763,0.8720821661998132,2.0415648362253176
"frozenset({'poutcome_success', 'contact_cellular'})","frozenset({'loan_no', 'deposit_yes'})",0.07695753449202652,0.876530612244898,2.0361778759370557
"frozenset({'default_no', 'poutcome_success', 'contact_cellular'})","frozenset({'loan_no', 'deposit_yes'})",0.07695753449202652,0.876530612244898,2.0361778759370557
frozenset({'poutcome_success'}),"frozenset({'loan_no', 'deposit_yes'})",0.08367676043719763,0.8720821661998132,2.025844149661252
"frozenset({'default_no', 'poutcome_success'})","frozenset({'loan_no', 'deposit_yes'})",0.08367676043719763,0.8720821661998132,2.025844149661252
